Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Loss	Loss_critic	Learning_rate	Exploration
21.1222083568573	57	10.92	7.6676984812915014	40.0	4.0	10.92	7.6676984812915014	0.7709526	13.806022	0.0005	0.487
21.522231101989746	58	10.32	4.666647619008746	31.0	3.0	10.32	4.666647619008746	0.7677512	12.511115	0.0005	0.478
21.937254905700684	59	10.68	5.612272267094675	29.0	3.0	10.68	5.612272267094675	0.7692609	13.487558	0.0005	0.469
22.335277557373047	60	10.34	4.297022224750531	23.0	3.0	10.34	4.297022224750531	0.76699764	12.562065	0.0005	0.45999999999999996
22.764302253723145	61	11.08	5.945889336339856	37.0	4.0	11.08	5.945889336339856	0.76868945	11.826619	0.0005	0.45099999999999996
23.215327978134155	62	11.78	6.500123075757873	32.0	4.0	11.78	6.500123075757873	0.7716392	14.335611	0.0005	0.44199999999999995
23.62935185432434	63	10.7	6.057227088363123	35.0	4.0	10.7	6.057227088363123	0.76692665	13.024276	0.0005	0.43299999999999994
24.02437424659729	64	10.2	5.758472019555187	37.0	4.0	10.2	5.758472019555187	0.7644561	12.940696	0.0005	0.42399999999999993
24.465399503707886	65	11.5	6.96921803361037	48.0	3.0	11.5	6.96921803361037	0.7677258	11.600898	0.0005	0.4149999999999999
24.87042260169983	66	10.4	5.114684741017769	29.0	4.0	10.4	5.114684741017769	0.7639903	12.809213	0.0005	0.4059999999999999
25.283446311950684	67	10.7	6.564297372910523	47.0	4.0	10.7	6.564297372910523	0.7642232	12.568249	0.0005	0.3969999999999999
25.692469835281372	68	10.32	5.562157854645983	28.0	3.0	10.32	5.562157854645983	0.7629256	13.818269	0.0005	0.3879999999999999
26.110493421554565	69	10.78	5.738606102530474	28.0	4.0	10.78	5.738606102530474	0.7647291	15.4257555	0.0005	0.379
26.491515398025513	70	9.62	4.914834686945229	33.0	5.0	9.62	4.914834686945229	0.757793	11.761236	0.0005	0.37
26.91853976249695	71	10.86	5.145910998064385	24.0	4.0	10.86	5.145910998064385	0.76258725	12.621228	0.0005	0.361
27.327563285827637	72	10.46	5.419261942368167	27.0	3.0	10.46	5.419261942368167	0.7611679	13.909067	0.0005	0.352
27.70458483695984	73	9.64	4.385247997548143	26.0	3.0	9.64	4.385247997548143	0.75786203	15.067201	0.0005	0.34299999999999997
28.062605142593384	74	9.18	3.766643067772682	21.0	5.0	9.18	3.766643067772682	0.7543383	13.30335	0.0005	0.33399999999999996
28.49562978744507	75	11.44	6.203740806964778	31.0	4.0	11.44	6.203740806964778	0.76289684	13.561116	0.0005	0.32499999999999996
28.8786518573761	76	9.84	4.691950553874157	31.0	4.0	9.84	4.691950553874157	0.75688505	14.125588	0.0005	0.31599999999999995
29.30967664718628	77	11.08	5.5958556092880025	23.0	3.0	11.08	5.5958556092880025	0.76146686	14.796308	0.0005	0.30699999999999994
29.722700119018555	78	10.52	5.797378718006957	28.0	4.0	10.52	5.797378718006957	0.7587147	14.123622	0.0005	0.29799999999999993
30.12972354888916	79	10.6	7.315736463268753	52.0	4.0	10.6	7.315736463268753	0.7586268	14.0900135	0.0005	0.2889999999999999
30.527746200561523	80	10.22	4.7001702096839	33.0	4.0	10.22	4.7001702096839	0.7562216	13.05976	0.0005	0.2799999999999999
30.93376922607422	81	10.22	4.405859734489967	26.0	4.0	10.22	4.405859734489967	0.7552892	12.303907	0.0005	0.2709999999999999
31.355793714523315	82	10.6	5.063595560468865	29.0	3.0	10.6	5.063595560468865	0.75752705	14.969521	0.0005	0.262
31.80381941795349	83	11.38	4.612548102730203	29.0	5.0	11.38	4.612548102730203	0.75848913	12.630921	0.0005	0.253
32.28784704208374	84	12.5	7.349149610669251	36.0	4.0	12.5	7.349149610669251	0.7617694	13.524282	0.0005	0.244
32.755873680114746	85	11.82	4.877253325387149	30.0	5.0	11.82	4.877253325387149	0.7593053	13.706765	0.0005	0.235
33.198899030685425	86	11.54	4.51313638171948	24.0	4.0	11.54	4.51313638171948	0.75835305	14.78241	0.0005	0.22599999999999998
33.72192907333374	87	13.36	8.912373421261028	49.0	4.0	13.36	8.912373421261028	0.7623073	13.505665	0.0005	0.21699999999999997
34.21195673942566	88	12.64	5.687741203676553	30.0	3.0	12.64	5.687741203676553	0.7610134	15.588872	0.0005	0.20799999999999996
34.76798892021179	89	14.44	7.952760527011988	44.0	4.0	14.44	7.952760527011988	0.76384413	13.784966	0.0005	0.19899999999999995
35.2310152053833	90	12.2	5.582114294781145	32.0	4.0	12.2	5.582114294781145	0.7575308	12.853579	0.0005	0.18999999999999995
35.72104334831238	91	12.6	7.499333303701069	40.0	3.0	12.6	7.499333303701069	0.7586125	13.828705	0.0005	0.18099999999999994
36.18006944656372	92	12.0	4.935585071701226	29.0	4.0	12.0	4.935585071701226	0.7567186	14.559559	0.0005	0.17199999999999993
36.6580970287323	93	12.38	5.074997536945215	28.0	4.0	12.38	5.074997536945215	0.7571008	14.188756	0.0005	0.16299999999999992
37.21812891960144	94	14.64	7.546548880117322	45.0	3.0	14.64	7.546548880117322	0.7612511	12.701497	0.0005	0.15400000000000003
37.76516032218933	95	14.38	7.285300268348587	35.0	4.0	14.38	7.285300268348587	0.75940585	11.201087	0.0005	0.14500000000000002
38.27718949317932	96	13.34	6.632073582221476	45.0	4.0	13.34	6.632073582221476	0.75704217	12.741861	0.0005	0.136
38.83422136306763	97	14.44	7.782441776203663	39.0	3.0	14.44	7.782441776203663	0.7594425	14.276264	0.0005	0.127
39.36425161361694	98	13.84	5.63687856885351	31.0	5.0	13.84	5.63687856885351	0.7567801	13.093562	0.0005	0.118
39.90628266334534	99	14.34	6.781179838346717	34.0	5.0	14.34	6.781179838346717	0.7582268	15.159683	0.0005	0.10899999999999999
40.424312353134155	100	13.78	5.239427449636076	30.0	4.0	13.78	5.239427449636076	0.7557412	13.907092	0.0005	0.09999999999999998
40.997345209121704	101	15.18	6.583889427990115	33.0	7.0	15.18	6.583889427990115	0.75697476	11.5720215	0.0005	0.09999999999999998
41.49137330055237	102	13.06	5.120195308774851	30.0	5.0	13.06	5.120195308774851	0.752499	13.429167	0.0005	0.09999999999999998
42.05740571022034	103	15.02	7.333457574705127	35.0	4.0	15.02	7.333457574705127	0.75679195	14.795522	0.0005	0.09999999999999998
42.57243490219116	104	13.7	5.52177507691141	34.0	5.0	13.7	5.52177507691141	0.75273305	13.62085	0.0005	0.09999999999999998
43.20147109031677	105	16.76	8.444074845712821	38.0	5.0	16.76	8.444074845712821	0.75845456	14.516051	0.0005	0.09999999999999998
43.76650357246399	106	14.98	7.723962713529889	44.0	4.0	14.98	7.723962713529889	0.754395	13.840441	0.0005	0.09999999999999998
44.23152995109558	107	12.26	6.085425211108917	33.0	3.0	12.26	6.085425211108917	0.74831	16.092777	0.0005	0.09999999999999998
44.80256271362305	108	15.2	7.302054505411474	40.0	5.0	15.2	7.302054505411474	0.75433534	14.941472	0.0005	0.09999999999999998
45.30959153175354	109	13.5	6.063827174318213	35.0	5.0	13.5	6.063827174318213	0.7501259	14.765407	0.0005	0.09999999999999998
45.9396276473999	110	16.86	10.260623762715403	59.0	5.0	16.86	10.260623762715403	0.75556475	13.042461	0.0005	0.09999999999999998
46.46965789794922	111	14.2	8.16578226503744	42.0	4.0	14.2	8.16578226503744	0.7512265	15.464069	0.0005	0.09999999999999998
47.048691272735596	112	15.44	8.509195026558036	42.0	3.0	15.44	8.509195026558036	0.7527034	14.343184	0.0005	0.09999999999999998
47.628724336624146	113	15.5	7.491995728776145	42.0	6.0	15.5	7.491995728776145	0.7511753	11.9327755	0.0005	0.09999999999999998
48.16375494003296	114	14.22	6.7802359840937685	38.0	5.0	14.22	6.7802359840937685	0.7490221	14.327192	0.0005	0.09999999999999998
48.73878788948059	115	15.28	8.511263125999571	38.0	5.0	15.28	8.511263125999571	0.75105476	15.2888565	0.0005	0.09999999999999998
49.38082456588745	116	17.38	7.277059845844336	35.0	5.0	17.38	7.277059845844336	0.7534475	14.100315	0.0005	0.09999999999999998
49.98185896873474	117	15.9	7.491995728776145	39.0	3.0	15.9	7.491995728776145	0.75090426	14.824316	0.0005	0.09999999999999998
50.56089234352112	118	15.48	7.566346542420589	53.0	6.0	15.48	7.566346542420589	0.7491496	14.048833	0.0005	0.09999999999999998
51.17392706871033	119	16.12	7.622702932687329	46.0	5.0	16.12	7.622702932687329	0.7495223	13.55513	0.0005	0.09999999999999998
51.800962924957275	120	16.24	9.84390166549829	59.0	5.0	16.24	9.84390166549829	0.7502312	15.923118	0.0005	0.09999999999999998
52.39299702644348	121	15.72	7.881725699363053	41.0	5.0	15.72	7.881725699363053	0.7490666	16.497122	0.0005	0.09999999999999998
52.91902709007263	122	13.72	7.318579097065222	44.0	4.0	13.72	7.318579097065222	0.7445303	16.792347	0.0005	0.09999999999999998
53.47105860710144	123	14.74	6.784718122368828	34.0	6.0	14.74	6.784718122368828	0.74543464	14.319434	0.0005	0.09999999999999998
54.055091857910156	124	15.56	6.8268880172447535	39.0	6.0	15.56	6.8268880172447535	0.74702287	14.85888	0.0005	0.09999999999999998
54.656126260757446	125	16.08	8.43525933211303	49.0	6.0	16.08	8.43525933211303	0.7474806	14.485912	0.0005	0.09999999999999998
55.189157009124756	126	14.26	6.635691373172807	33.0	5.0	14.26	6.635691373172807	0.74450094	17.003492	0.0005	0.09999999999999998
55.74718880653381	127	14.86	10.17253164163179	69.0	3.0	14.86	10.17253164163179	0.7452089	16.39822	0.0005	0.09999999999999998
56.40822672843933	128	17.82	8.730841883804791	40.0	6.0	17.82	8.730841883804791	0.74939656	14.880527	0.0005	0.09999999999999998
57.07626485824585	129	17.76	10.804739700705428	56.0	3.0	17.76	10.804739700705428	0.74926496	15.515102	0.0005	0.09999999999999998
57.768304109573364	130	18.56	11.074583513613502	67.0	5.0	18.56	11.074583513613502	0.7492448	13.846077	0.0005	0.09999999999999998
58.35533785820007	131	15.8	8.487638069569178	47.0	5.0	15.8	8.487638069569178	0.7452762	15.591099	0.0005	0.09999999999999998
58.94037127494812	132	15.42	6.8763071484627565	36.0	5.0	15.42	6.8763071484627565	0.74423367	16.008871	0.0005	0.09999999999999998
